2025-10-08 00:39:55,875 - WARNING - Invalid tier 'CORIGINAL _XI AND _XI_' in row 76, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'all datasets' in row 77, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '1626.01' in row 78, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C162601' in row 78, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '50-60 with frequencies 6' in row 79, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C8' in row 79, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '_fixi_/n - ___' in row 80, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer 'mean' in row 81, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '68' in row 82, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C60' in row 82, defaulting to 'C2'
2025-10-08 00:39:55,875 - WARNING - Invalid answer '9' in row 83, defaulting to 'a'
2025-10-08 00:39:55,875 - WARNING - Invalid tier 'C1374' in row 83, defaulting to 'C2'
2025-10-08 00:39:55,875 - INFO - ✓ Cleaned statistics.csv: 83 questions
2025-10-08 00:39:55,876 - INFO - ✓ Saved cleaned: statistics_cleaned.csv
2025-10-08 00:39:55,876 - INFO -   Original moved to: processed/statistics_processed_20251008_003955.csv
2025-10-08 00:39:55,876 - INFO -   Questions: 83 | Tiers: C1:14, C2:60, C3:8, C4:1
2025-10-08 00:39:55,876 - INFO - ------------------------------------------------------------
2025-10-08 00:39:55,876 - INFO - Processing: limits_and_derivatives.csv
2025-10-08 00:39:55,878 - WARNING - Invalid answer 'cannot be determined' in row 11, defaulting to 'a'
2025-10-08 00:39:55,878 - WARNING - Invalid tier 'CA' in row 11, defaulting to 'C2'
2025-10-08 00:39:55,878 - WARNING - Invalid answer '1' in row 13, defaulting to 'a'
2025-10-08 00:39:55,878 - WARNING - Invalid tier 'CA' in row 13, defaulting to 'C2'
2025-10-08 00:39:55,878 - WARNING - Invalid answer '1' in row 14, defaulting to 'a'
2025-10-08 00:39:55,878 - WARNING - Invalid tier 'CA' in row 14, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer '1/b' in row 18, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CA' in row 18, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer '(a+1)/(1+b)' in row 20, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CA' in row 20, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer '2' in row 23, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CDOES NOT EXIST' in row 23, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer 'does not exist' in row 24, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'C-2' in row 24, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer 'does not exist' in row 25, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'C-1' in row 25, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer 'does not exist' in row 26, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'C-1' in row 26, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer 'a + b = 4' in row 28, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CA = B' in row 28, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer '0' in row 29, defaulting to 'a'
2025-10-08 00:39:55,879 - WARNING - Invalid tier 'CA' in row 29, defaulting to 'C2'
2025-10-08 00:39:55,879 - WARNING - Invalid answer '101 f'(0)' in row 37, defaulting to 'a'
